AL AK AZ AR CA CO CT DE FL GA HI ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY DC 
"3,444,354" "302,583" "1,775,399" "1,923,322" "19,971,069" "2,209,596" "3,032,217" "548,104" "6,791,418" "4,587,930" "769,913" "713,015" "11,110,285" "5,195,392" "2,825,368" "2,249,071" "3,220,711" "3,644,637" "993,722" "3,923,897" "5,689,170" "8,881,826" "3,806,103" "2,216,994" "4,677,623" "694,409" "1,485,333" "488,738" "737,681" "7,171,112" "1,017,055" "18,241,391" "5,084,411" "617,792" "10,657,423" "2,559,463" "2,091,533" "11,800,766" "949,723" "2,590,713" "666,257" "3,926,018" "11,198,655" "1,059,273" "444,732" "4,651,448" "3,413,244" "1,744,237" "4,417,821" "332,416" "756,668"  
"3,497,076" "315,510" "1,895,814" "1,972,312" "20,345,939" "2,303,524" "3,060,938" "564,708" "7,158,304" "4,711,550" "801,644" "738,753" "11,202,397" "5,253,396" "2,851,705" "2,246,600" "3,298,053" "3,710,487" "1,015,390" "4,018,324" "5,737,580" "8,974,186" "3,853,486" "2,265,432" "4,725,764" "710,814" "1,504,604" "520,018" "761,851" "7,281,107" "1,053,737" "18,357,982" "5,203,531" "626,760" "10,734,818" "2,618,601" "2,151,022" "11,886,400" "963,107" "2,662,269" "671,297" "4,013,608" "11,509,848" "1,101,192" "454,318" "4,750,838" "3,447,553" "1,770,657" "4,462,155" "340,285" "749,781"  
"3,539,400" "324,464" "2,008,291" "2,018,638" "20,585,469" "2,404,619" "3,068,699" "572,913" "7,511,463" "4,809,490" "828,331" "763,237" "11,251,948" "5,302,435" "2,860,287" "2,256,375" "3,335,728" "3,761,646" "1,034,292" "4,073,499" "5,760,302" "9,028,944" "3,869,747" "2,307,117" "4,758,780" "718,732" "1,519,013" "546,789" "781,107" "7,335,042" "1,078,697" "18,339,400" "5,301,150" "631,119" "10,746,993" "2,658,646" "2,197,297" "11,908,233" "974,790" "2,719,197" "677,234" "4,094,611" "11,759,148" "1,135,449" "463,143" "4,824,472" "3,447,885" "1,797,648" "4,502,412" "347,345" "742,241"  
"3,579,780" "330,543" "2,124,438" "2,059,256" "20,868,728" "2,495,868" "3,067,814" "577,759" "7,913,696" "4,910,374" "851,595" "782,074" "11,251,367" "5,338,277" "2,863,715" "2,265,603" "3,371,024" "3,788,375" "1,045,655" "4,097,974" "5,781,172" "9,077,956" "3,889,332" "2,349,546" "4,782,645" "726,798" "1,529,567" "568,991" "800,951" "7,333,083" "1,105,529" "18,177,063" "5,389,852" "632,675" "10,767,314" "2,695,931" "2,241,932" "11,890,527" "975,738" "2,776,605" "678,715" "4,147,401" "12,019,543" "1,170,040" "468,430" "4,901,292" "3,478,782" "1,806,360" "4,524,244" "354,061" "731,488"  
"3,626,499" "341,063" "2,223,196" "2,101,403" "21,173,865" "2,541,406" "3,074,047" "581,418" "8,298,762" "4,999,419" "867,978" "807,990" "11,262,145" "5,361,890" "2,867,530" "2,269,499" "3,416,315" "3,820,109" "1,059,040" "4,118,815" "5,773,548" "9,117,507" "3,903,925" "2,378,268" "4,795,930" "736,419" "1,539,191" "596,822" "815,914" "7,332,411" "1,131,309" "18,049,775" "5,470,911" "634,559" "10,765,759" "2,734,768" "2,285,013" "11,870,884" "950,615" "2,844,749" "679,585" "4,213,509" "12,268,629" "1,200,471" "473,002" "4,971,069" "3,549,946" "1,815,447" "4,545,782" "365,501" "717,947"  
"3,678,814" "376,170" "2,284,847" "2,159,526" "21,537,849" "2,586,192" "3,082,500" "586,589" "8,518,422" "5,064,075" "886,160" "831,982" "11,291,743" "5,365,766" "2,880,847" "2,280,578" "3,467,769" "3,886,104" "1,071,995" "4,139,096" "5,757,756" "9,117,668" "3,932,515" "2,399,449" "4,808,308" "748,208" "1,543,117" "619,972" "828,555" "7,337,765" "1,159,944" "18,003,485" "5,547,188" "638,886" "10,770,425" "2,774,683" "2,329,661" "11,906,095" "942,788" "2,902,028" "681,042" "4,275,566" "12,568,843" "1,236,030" "479,713" "5,047,395" "3,621,339" "1,842,250" "4,578,986" "381,695" "706,871"  
"3,735,139" "400,969" "2,346,157" "2,170,161" "21,935,909" "2,632,306" "3,083,335" "590,166" "8,667,379" "5,132,812" "904,191" "856,983" "11,342,853" "5,389,088" "2,903,082" "2,301,001" "3,529,257" "3,950,605" "1,088,412" "4,150,539" "5,743,672" "9,129,205" "3,964,680" "2,429,756" "4,839,029" "757,317" "1,550,911" "646,975" "845,248" "7,339,745" "1,189,295" "17,940,541" "5,607,964" "645,797" "10,752,662" "2,826,815" "2,378,262" "11,897,378" "946,089" "2,943,657" "686,390" "4,346,928" "12,904,089" "1,274,928" "484,928" "5,121,863" "3,693,610" "1,879,503" "4,595,904" "396,952" "692,295"  
"3,780,403" "403,436" "2,425,197" "2,209,010" "22,352,396" "2,696,140" "3,085,722" "591,829" "8,856,183" "5,219,697" "918,259" "883,469" "11,386,316" "5,425,638" "2,913,573" "2,320,647" "3,573,693" "4,014,459" "1,103,578" "4,169,595" "5,738,199" "9,171,110" "3,989,364" "2,459,201" "4,863,173" "769,953" "1,556,842" "678,333" "869,763" "7,337,169" "1,215,720" "17,812,602" "5,685,607" "649,769" "10,771,394" "2,870,014" "2,446,673" "11,893,591" "950,230" "2,991,681" "688,480" "4,422,921" "13,193,050" "1,319,512" "491,931" "5,193,112" "3,776,050" "1,908,088" "4,626,514" "413,354" "677,228"  
"3,831,836" "404,766" "2,515,316" "2,243,127" "22,835,958" "2,766,748" "3,091,627" "594,776" "9,102,032" "5,295,751" "931,584" "910,690" "11,412,561" "5,470,214" "2,918,069" "2,335,657" "3,609,976" "4,068,579" "1,113,566" "4,183,603" "5,736,469" "9,217,761" "4,015,341" "2,487,816" "4,889,399" "782,317" "1,563,884" "719,436" "891,520" "7,350,804" "1,238,034" "17,680,589" "5,759,492" "651,301" "10,795,581" "2,917,336" "2,518,298" "11,879,396" "951,816" "3,044,364" "688,580" "4,486,314" "13,500,429" "1,367,510" "498,109" "5,270,240" "3,889,073" "1,923,395" "4,646,108" "432,880" "665,052"  
"3,866,248" "402,753" "2,635,571" "2,271,333" "23,256,880" "2,849,234" "3,095,917" "594,984" "9,426,159" "5,401,384" "953,306" "932,627" "11,396,837" "5,501,174" "2,915,739" "2,350,906" "3,641,804" "4,137,665" "1,122,563" "4,191,160" "5,738,404" "9,266,268" "4,050,316" "2,507,069" "4,912,430" "787,305" "1,567,344" "765,367" "909,074" "7,366,512" "1,284,722" "17,583,838" "5,823,491" "652,896" "10,798,298" "2,975,310" "2,588,012" "11,887,975" "950,382" "3,090,267" "688,335" "4,560,473" "13,888,371" "1,420,238" "505,372" "5,307,945" "4,017,632" "1,942,146" "4,682,811" "454,378" "650,016"  
